"rules","support","confidence","coverage","lift","count"
"3891","{radius3=[13.5,16.8),concave_points3=[0,0.0787)} => {area3=[553,862)}",0.112478031634446,1,0.112478031634446,3.01058201058201,64
"3911","{concavity1=[0,0.038),radius3=[13.5,16.8)} => {area3=[553,862)}",0.130052724077329,1,0.130052724077329,3.01058201058201,74
"3928","{concave_points2=[0.0133,0.0528],radius3=[13.5,16.8)} => {area3=[553,862)}",0.0720562390158172,1,0.0720562390158172,3.01058201058201,41
"3940","{concavity1=[0.103,0.427],radius3=[13.5,16.8)} => {area3=[553,862)}",0.0562390158172232,1,0.0562390158172232,3.01058201058201,32
"3942","{compactness1=[0.116,0.345],radius3=[13.5,16.8)} => {area3=[553,862)}",0.070298769771529,1,0.070298769771529,3.01058201058201,40
"3964","{radius3=[13.5,16.8),concave_points3=[0.142,0.291]} => {area3=[553,862)}",0.0509666080843585,1,0.0509666080843585,3.01058201058201,29
"3978","{Diagnosis=M,radius3=[13.5,16.8)} => {area3=[553,862)}",0.0527240773286467,1,0.0527240773286467,3.01058201058201,30
"4132","{area1=[144,462),fractal_dimension2=[0.00253,0.00399)} => {radius1=Bajo}",0.123022847100176,1,0.123022847100176,3.01058201058201,70
"4514","{area1=[144,462),smoothness3=[0.122,0.141)} => {radius1=Bajo}",0.117750439367311,1,0.117750439367311,3.01058201058201,67
"4953","{area1=[144,462),symmetry3=[0.261,0.306)} => {radius1=Bajo}",0.131810193321617,1,0.131810193321617,3.01058201058201,75
"4955","{perimeter1=[43.8,78.6),symmetry3=[0.261,0.306)} => {radius1=Bajo}",0.12829525483304,1,0.12829525483304,3.01058201058201,73
"5458","{area1=[144,462),radius2=[0.256,0.41)} => {radius1=Bajo}",0.131810193321617,1,0.131810193321617,3.01058201058201,75
"5469","{area1=[144,462),perimeter2=[1.84,2.89)} => {radius1=Bajo}",0.126537785588752,1,0.126537785588752,3.01058201058201,72
"5480","{area1=[144,462),concave_points2=[0.00894,0.0133)} => {radius1=Bajo}",0.0931458699472759,1,0.0931458699472759,3.01058201058201,53
"5491","{area1=[144,462),concave_points1=[0.0241,0.0583)} => {radius1=Bajo}",0.10896309314587,1,0.10896309314587,3.01058201058201,62
"5502","{area1=[144,462),smoothness2=[0.00553,0.00743)} => {radius1=Bajo}",0.101933216168717,1,0.101933216168717,3.01058201058201,58
"5563","{area1=[144,462),area3=[185,553)} => {radius1=Bajo}",0.305799648506151,1,0.305799648506151,3.01058201058201,174
"5620","{area1=[144,462),smoothness2=[0.00743,0.0311]} => {radius1=Bajo}",0.179261862917399,1,0.179261862917399,3.01058201058201,102
"5663","{concave_points2=[0.0133,0.0528],perimeter3=[50.4,87.4)} => {radius1=Bajo}",0.0667838312829526,1,0.0667838312829526,3.01058201058201,38
"5665","{concavity2=[0.0347,0.396],perimeter3=[50.4,87.4)} => {radius1=Bajo}",0.0650263620386643,1,0.0650263620386643,3.01058201058201,37
"5743","{area1=[144,462),radius3=[7.93,13.5)} => {radius1=Bajo}",0.307557117750439,1,0.307557117750439,3.01058201058201,175
"5755","{symmetry1=[0.19,0.304],radius3=[7.93,13.5)} => {radius1=Bajo}",0.103690685413005,1,0.103690685413005,3.01058201058201,59
"5776","{radius3=[7.93,13.5),symmetry3=[0.306,0.664]} => {radius1=Bajo}",0.070298769771529,1,0.070298769771529,3.01058201058201,40
"5818","{area1=[144,462),concave_points3=[0,0.0787)} => {radius1=Bajo}",0.212653778558875,1,0.212653778558875,3.01058201058201,121
"5853","{area1=[144,462),fractal_dimension3=[0.055,0.0747)} => {radius1=Bajo}",0.105448154657293,1,0.105448154657293,3.01058201058201,60
"5863","{area1=[144,462),compactness3=[0.0273,0.168)} => {radius1=Bajo}",0.177504393673111,1,0.177504393673111,3.01058201058201,101
"5885","{area1=[144,462),concavity2=[0,0.0183)} => {radius1=Bajo}",0.159929701230228,1,0.159929701230228,3.01058201058201,91
"5892","{area1=[144,462),symmetry1=[0.106,0.168)} => {radius1=Bajo}",0.115992970123023,1,0.115992970123023,3.01058201058201,66
"5901","{area1=[144,462),concavity1=[0,0.038)} => {radius1=Bajo}",0.189806678383128,1,0.189806678383128,3.01058201058201,108
"5916","{area1=[144,462),texture3=[28,49.5]} => {radius1=Bajo}",0.0685413005272408,1,0.0685413005272408,3.01058201058201,39
"5921","{area1=[144,462),symmetry3=[0.156,0.261)} => {radius1=Bajo}",0.121265377855888,1,0.121265377855888,3.01058201058201,69
"5926","{area1=[144,462),texture2=[1.34,4.88]} => {radius1=Bajo}",0.149384885764499,1,0.149384885764499,3.01058201058201,85
"5936","{area1=[144,462),concavity3=[0,0.146)} => {radius1=Bajo}",0.195079086115993,1,0.195079086115993,3.01058201058201,111
"5945","{area1=[144,462),concave_points2=[0.0133,0.0528]} => {radius1=Bajo}",0.0773286467486819,1,0.0773286467486819,3.01058201058201,44
"5947","{area1=[144,462),concavity2=[0.0347,0.396]} => {radius1=Bajo}",0.0808435852372583,1,0.0808435852372583,3.01058201058201,46
"5949","{area1=[144,462),compactness2=[0.0281,0.135]} => {radius1=Bajo}",0.0878734622144113,1,0.0878734622144113,3.01058201058201,50
"5951","{area1=[144,462),texture2=[0.36,0.924)} => {radius1=Bajo}",0.0773286467486819,1,0.0773286467486819,3.01058201058201,44
"5953","{area1=[144,462),fractal_dimension1=[0.0644,0.0974]} => {radius1=Bajo}",0.163444639718805,1,0.163444639718805,3.01058201058201,93
"5957","{area1=[144,462),smoothness1=[0.102,0.163]} => {radius1=Bajo}",0.107205623901582,1,0.107205623901582,3.01058201058201,61
